Catboost,Random forest,GBM,XtraTrees,XGBoost
0.6,0.6166666666666670,0.6,0.6166666666666670,0.65
0.6833333333333330,0.6666666666666670,0.6833333333333330,0.6666666666666670,0.6333333333333330
0.7333333333333330,0.7,0.6833333333333330,0.7333333333333330,0.7166666666666670
0.6666666666666670,0.6333333333333330,0.6333333333333330,0.6333333333333330,0.6333333333333330
0.7333333333333330,0.75,0.7333333333333330,0.75,0.6833333333333330
0.6833333333333330,0.6666666666666670,0.6333333333333330,0.7,0.6666666666666670
0.6666666666666670,0.65,0.6333333333333330,0.7,0.7166666666666670
0.6,0.5833333333333330,0.5333333333333330,0.6166666666666670,0.55
0.65,0.65,0.6166666666666670,0.6666666666666670,0.6333333333333330
0.7166666666666670,0.7,0.6333333333333330,0.7166666666666670,0.6
0.65,0.6833333333333330,0.6666666666666670,0.6666666666666670,0.65
0.6,0.6333333333333330,0.5833333333333330,0.6333333333333330,0.6166666666666670
0.6333333333333330,0.6,0.5666666666666670,0.6333333333333330,0.6333333333333330
0.8,0.7833333333333330,0.7,0.7666666666666670,0.7
0.5666666666666670,0.6166666666666670,0.5833333333333330,0.6166666666666670,0.5166666666666670
0.5833333333333330,0.5833333333333330,0.5,0.6166666666666670,0.6
0.7,0.6666666666666670,0.6333333333333330,0.7333333333333330,0.6833333333333330
0.8,0.7666666666666670,0.7333333333333330,0.7833333333333330,0.75
0.7,0.6833333333333330,0.7,0.6833333333333330,0.7
0.6833333333333330,0.6833333333333330,0.65,0.6166666666666670,0.75
0.75,0.7666666666666670,0.7166666666666670,0.8,0.7166666666666670
0.6666666666666670,0.6666666666666670,0.65,0.6666666666666670,0.7
0.65,0.6333333333333330,0.55,0.6166666666666670,0.6333333333333330
0.75,0.7333333333333330,0.7333333333333330,0.75,0.7166666666666670
0.7333333333333330,0.7666666666666670,0.7333333333333330,0.8,0.7833333333333330
0.7,0.7166666666666670,0.6833333333333330,0.7166666666666670,0.6833333333333330
0.6166666666666670,0.6666666666666670,0.6,0.65,0.6166666666666670
0.6666666666666670,0.7,0.6333333333333330,0.6833333333333330,0.6833333333333330
0.7666666666666670,0.75,0.6666666666666670,0.8,0.6833333333333330
0.65,0.6833333333333330,0.6666666666666670,0.7,0.6666666666666670
0.6666666666666670,0.6833333333333330,0.6666666666666670,0.7333333333333330,0.6833333333333330
0.55,0.55,0.5833333333333330,0.5666666666666670,0.5666666666666670
0.7,0.7,0.6166666666666670,0.6833333333333330,0.65
0.75,0.7333333333333330,0.7166666666666670,0.7666666666666670,0.7333333333333330
0.6833333333333330,0.6833333333333330,0.65,0.7333333333333330,0.6833333333333330
0.5666666666666670,0.5833333333333330,0.5833333333333330,0.6166666666666670,0.6166666666666670
0.75,0.7666666666666670,0.7166666666666670,0.7833333333333330,0.6833333333333330
0.65,0.6666666666666670,0.55,0.6833333333333330,0.6166666666666670
0.65,0.6666666666666670,0.5833333333333330,0.65,0.55
0.6666666666666670,0.65,0.6166666666666670,0.6333333333333330,0.6333333333333330
0.6833333333333330,0.6666666666666670,0.6166666666666670,0.6833333333333330,0.6166666666666670
0.7,0.65,0.6666666666666670,0.7333333333333330,0.65
0.6666666666666670,0.7,0.6166666666666670,0.7333333333333330,0.75
0.75,0.7333333333333330,0.7,0.7833333333333330,0.7666666666666670
0.7166666666666670,0.65,0.55,0.6833333333333330,0.6666666666666670
0.7,0.6666666666666670,0.6833333333333330,0.7,0.7
0.6333333333333330,0.7166666666666670,0.6333333333333330,0.6666666666666670,0.5666666666666670
0.65,0.6666666666666670,0.5333333333333330,0.6666666666666670,0.65
0.6833333333333330,0.65,0.6333333333333330,0.7166666666666670,0.6666666666666670
0.6666666666666670,0.6333333333333330,0.6,0.6333333333333330,0.6666666666666670
0.6166666666666670,0.6333333333333330,0.5333333333333330,0.6,0.5833333333333330
0.7333333333333330,0.7166666666666670,0.6333333333333330,0.7333333333333330,0.6333333333333330
0.55,0.6,0.5666666666666670,0.5666666666666670,0.5833333333333330
0.75,0.7,0.6333333333333330,0.75,0.7
0.6333333333333330,0.6333333333333330,0.5833333333333330,0.65,0.5833333333333330
0.75,0.7333333333333330,0.6666666666666670,0.7166666666666670,0.6833333333333330
0.7166666666666670,0.75,0.6833333333333330,0.7333333333333330,0.7
0.7333333333333330,0.7333333333333330,0.7166666666666670,0.75,0.7833333333333330
0.6833333333333330,0.6333333333333330,0.6,0.65,0.6
0.7,0.6833333333333330,0.6666666666666670,0.7166666666666670,0.7
0.75,0.75,0.6666666666666670,0.75,0.7
0.7333333333333330,0.7166666666666670,0.6166666666666670,0.6833333333333330,0.6666666666666670
0.8,0.85,0.7666666666666670,0.8833333333333330,0.8
0.6666666666666670,0.6833333333333330,0.6166666666666670,0.6666666666666670,0.65
0.75,0.7,0.7166666666666670,0.75,0.7
0.7166666666666670,0.75,0.6333333333333330,0.7333333333333330,0.6833333333333330
0.7,0.6833333333333330,0.65,0.7,0.6666666666666670
0.6833333333333330,0.6333333333333330,0.6166666666666670,0.6833333333333330,0.6833333333333330
0.6666666666666670,0.6333333333333330,0.55,0.6666666666666670,0.6
0.6,0.6,0.6,0.6166666666666670,0.5666666666666670
0.6666666666666670,0.6833333333333330,0.5833333333333330,0.7,0.7
0.65,0.65,0.6333333333333330,0.6833333333333330,0.6333333333333330
0.5666666666666670,0.55,0.55,0.6166666666666670,0.6166666666666670
0.6666666666666670,0.6666666666666670,0.5833333333333330,0.7166666666666670,0.6666666666666670
0.6166666666666670,0.6333333333333330,0.55,0.65,0.6166666666666670
0.65,0.7166666666666670,0.7166666666666670,0.7333333333333330,0.7166666666666670
0.6166666666666670,0.6,0.5833333333333330,0.6,0.6
0.7166666666666670,0.7166666666666670,0.7,0.7833333333333330,0.7
0.6833333333333330,0.7,0.6166666666666670,0.6666666666666670,0.6666666666666670
0.6166666666666670,0.65,0.6,0.6833333333333330,0.7166666666666670
0.6333333333333330,0.6333333333333330,0.5833333333333330,0.6333333333333330,0.5833333333333330
0.6333333333333330,0.6333333333333330,0.5833333333333330,0.6666666666666670,0.65
0.6333333333333330,0.65,0.6166666666666670,0.65,0.6
0.6666666666666670,0.65,0.6333333333333330,0.6166666666666670,0.6666666666666670
0.7333333333333330,0.7333333333333330,0.6666666666666670,0.7,0.7666666666666670
0.6,0.5666666666666670,0.5166666666666670,0.5833333333333330,0.5666666666666670
0.6833333333333330,0.6666666666666670,0.5666666666666670,0.6666666666666670,0.6
0.6666666666666670,0.75,0.6333333333333330,0.7833333333333330,0.6833333333333330
0.7333333333333330,0.7166666666666670,0.65,0.7333333333333330,0.6333333333333330
0.6666666666666670,0.6833333333333330,0.6166666666666670,0.7166666666666670,0.6833333333333330
0.6166666666666670,0.65,0.6666666666666670,0.65,0.6166666666666670
0.7333333333333330,0.7,0.6333333333333330,0.7666666666666670,0.7
0.6333333333333330,0.65,0.6,0.6833333333333330,0.6
0.6666666666666670,0.65,0.55,0.6833333333333330,0.5833333333333330
0.6166666666666670,0.6,0.55,0.6,0.5833333333333330
0.75,0.75,0.7166666666666670,0.7,0.7
0.7666666666666670,0.7333333333333330,0.65,0.8,0.7
0.7333333333333330,0.7166666666666670,0.6833333333333330,0.7333333333333330,0.7
0.6833333333333330,0.65,0.5666666666666670,0.6666666666666670,0.6333333333333330
0.7,0.6666666666666670,0.6166666666666670,0.7166666666666670,0.6166666666666670