CatBoost,GridSearch Mult,XGB,GBM,RF
0.625,0.5,0.546875,0.578125,0.578125
0.828125,0.78125,0.8125,0.796875,0.796875
0.6875,0.5625,0.59375,0.640625,0.625
0.71875,0.640625,0.640625,0.6875,0.625
0.59375,0.578125,0.609375,0.5625,0.5625
0.65625,0.671875,0.671875,0.65625,0.640625
0.703125,0.640625,0.703125,0.640625,0.6875
0.6875,0.65625,0.6875,0.609375,0.703125
0.578125,0.609375,0.625,0.640625,0.546875
0.71875,0.671875,0.703125,0.6875,0.671875
0.625,0.53125,0.546875,0.53125,0.609375
0.640625,0.484375,0.59375,0.578125,0.546875
0.65625,0.65625,0.65625,0.578125,0.625
0.59375,0.53125,0.625,0.625,0.578125
0.609375,0.5625,0.625,0.625,0.609375
0.6875,0.625,0.671875,0.671875,0.640625
0.59375,0.546875,0.546875,0.53125,0.5625
0.65625,0.609375,0.640625,0.640625,0.640625
0.71875,0.59375,0.71875,0.734375,0.6875
0.71875,0.671875,0.734375,0.65625,0.703125
0.71875,0.578125,0.75,0.640625,0.734375
0.625,0.578125,0.59375,0.53125,0.578125
0.6875,0.671875,0.6875,0.640625,0.703125
0.671875,0.609375,0.6875,0.640625,0.625
0.59375,0.578125,0.609375,0.625,0.625
0.75,0.703125,0.734375,0.71875,0.71875
0.640625,0.546875,0.578125,0.546875,0.65625
0.640625,0.546875,0.625,0.640625,0.59375
0.703125,0.578125,0.625,0.734375,0.640625
0.671875,0.671875,0.71875,0.65625,0.6875
0.71875,0.625,0.671875,0.65625,0.703125
0.75,0.71875,0.796875,0.6875,0.703125
0.578125,0.5625,0.53125,0.625,0.5625
0.5625,0.5625,0.59375,0.609375,0.53125
0.703125,0.671875,0.6875,0.671875,0.671875
0.65625,0.625,0.671875,0.625,0.671875
0.578125,0.625,0.59375,0.546875,0.59375
0.765625,0.734375,0.734375,0.6875,0.71875
0.671875,0.59375,0.640625,0.65625,0.625
0.65625,0.6875,0.703125,0.625,0.640625
0.71875,0.546875,0.640625,0.625,0.671875
0.6875,0.671875,0.671875,0.65625,0.546875
0.640625,0.609375,0.609375,0.59375,0.625
0.640625,0.578125,0.5625,0.625,0.59375
0.609375,0.640625,0.625,0.65625,0.65625
0.765625,0.703125,0.75,0.71875,0.765625
0.609375,0.578125,0.609375,0.625,0.640625
0.671875,0.578125,0.609375,0.609375,0.578125
0.703125,0.59375,0.71875,0.6875,0.640625
0.671875,0.640625,0.609375,0.625,0.59375
0.609375,0.625,0.640625,0.578125,0.609375
0.625,0.578125,0.609375,0.578125,0.59375
0.671875,0.609375,0.671875,0.671875,0.6875
0.578125,0.578125,0.578125,0.53125,0.5625
0.609375,0.609375,0.59375,0.609375,0.578125
0.6875,0.65625,0.734375,0.625,0.6875
0.5625,0.5625,0.640625,0.59375,0.625
0.640625,0.53125,0.625,0.515625,0.671875
0.6875,0.484375,0.671875,0.640625,0.65625
0.71875,0.71875,0.71875,0.671875,0.671875
0.640625,0.578125,0.609375,0.640625,0.640625
0.6875,0.578125,0.671875,0.671875,0.640625
0.578125,0.609375,0.640625,0.5625,0.609375
0.6875,0.53125,0.59375,0.578125,0.609375
0.640625,0.546875,0.640625,0.5625,0.625
0.578125,0.546875,0.578125,0.578125,0.59375
0.625,0.578125,0.625,0.5625,0.578125
0.703125,0.6875,0.6875,0.671875,0.71875
0.515625,0.421875,0.546875,0.5,0.484375
0.640625,0.546875,0.625,0.546875,0.625
0.59375,0.546875,0.5625,0.609375,0.53125
0.75,0.75,0.75,0.765625,0.734375
0.65625,0.59375,0.59375,0.578125,0.5625
0.578125,0.484375,0.515625,0.578125,0.578125
0.625,0.640625,0.625,0.578125,0.609375
0.640625,0.65625,0.65625,0.578125,0.671875
0.6875,0.734375,0.671875,0.609375,0.671875
0.625,0.609375,0.625,0.609375,0.578125
0.546875,0.5,0.5625,0.515625,0.5
0.65625,0.671875,0.671875,0.671875,0.625
0.6875,0.609375,0.671875,0.609375,0.53125
0.65625,0.625,0.6875,0.671875,0.703125
0.640625,0.609375,0.609375,0.5625,0.59375
0.578125,0.53125,0.5625,0.484375,0.5625
0.609375,0.53125,0.5625,0.578125,0.578125
0.640625,0.625,0.625,0.578125,0.59375
0.578125,0.53125,0.53125,0.546875,0.53125
0.65625,0.578125,0.609375,0.609375,0.59375
0.75,0.578125,0.71875,0.703125,0.671875
0.703125,0.625,0.609375,0.578125,0.65625
0.671875,0.59375,0.609375,0.59375,0.625
0.640625,0.625,0.65625,0.625,0.65625
0.671875,0.578125,0.671875,0.609375,0.640625
0.65625,0.640625,0.671875,0.609375,0.609375
0.6875,0.59375,0.6875,0.671875,0.6875
0.703125,0.578125,0.703125,0.703125,0.671875
0.625,0.5625,0.625,0.5625,0.65625
0.59375,0.5,0.59375,0.578125,0.59375
0.5625,0.5,0.609375,0.609375,0.59375
0.6875,0.53125,0.671875,0.671875,0.640625